OBJECTID,name,introduction,difficulty,completionTime,hasAlerts,introductionThumbnail,walkingAndTrampingWebPage,dateLoadedToGIS,SHAPE_Length
172471,Dry Creek Track,"Dry Creek Track provides great backcountry opportunities for short walks, tramping and mountain biking with access to the Dry Creek and Neinei i Kura Conservation areas.",Advanced,4 - 6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3e063d4cc217402e8a583ed8423eedd3.jpg,https://www.doc.govt.nz/link/23a42e2e167a445d916884d60332566e.aspx,2021/05/05 13:42:22+00,8408.16152674143
172472,Dusky Track,"This difficult tramping track between Lake Hauroko and Lake Manapouri offers huge lakes, gushing rivers, vast forested valleys and lots of mud for experienced and well equipped trampers.",Advanced,8- 10 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c41b7fe57de8443f84bde66c2f24d24e.jpg,https://www.doc.govt.nz/link/9affa8897e58465bbcda2c4c3b2dd16d.aspx,2021/05/05 13:42:22+00,50252.6366502899
172473,Earnscleugh Tailings Track,"The tailings on this walk are nationally significant as the only complete record of dredging activity from 1863 to 1963. They're an awe inspiring sight, hundreds of metres wide like a giant’s ploughed field. ",Easy,30 min or 2 - 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4e21939d7c924b2d88b3f0592cc9a570.jpg,https://www.doc.govt.nz/link/e90787b340864904b3c56e87a582cca3.aspx,2021/05/05 13:41:48+00,5060.5199484854
172474,Earnslaw Burn Track,Following Earnslaw Burn through bush to the tussock basin at the head of this valley for impressive views of an icefall on Mt Earnslaw/Pikirakatahi.,Advanced,4 - 6 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/bbaa8a40e3b4457cbe2c67969112624e.jpg,https://www.doc.govt.nz/link/5313e49cacb340a3926a974a940b7880.aspx,2021/05/05 13:42:22+00,8048.44482012768
172475,East Ahuriri Track,East Ahuriri Track is part of Te Araroa.,Advanced,1 - 2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/557de8e5d8ae448fbca17722080da9bd.jpg,https://www.doc.govt.nz/link/966e549486e64698bf371d1e448aa47d.aspx,2021/05/05 13:42:22+00,20384.360353849
172476,East Eglinton Track,"This challenging tramping route leads from the Milford Road, up the East Eglinton river valley through beech forest. ",Expert,2 hr one way to river forks,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f32b505e307d4bc4a3ba417bef5ca801.jpg,https://www.doc.govt.nz/link/eb22eb802ca747bca579c7dff6d6f793.aspx,2021/05/05 13:42:23+00,3290.95534187558
172477,East Matukituki Valley tracks,The East Matukituki Valley provides interesting day walks and access to several demanding tramping and climbing routes in Mount Aspiring National Park. ,Advanced,3–4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4f2b855d58d24716ac45cc7ff5324656.jpg,https://www.doc.govt.nz/link/ae6ce4ad9a314fa1967efadd7b53e03c.aspx,2021/05/05 13:42:23+00,20298.4651149917
172478,Edwards - Hawdon Route,"This route takes you through spectacular rock-fall, past mountain tarns and over two alpine passes.  ",Expert,2-3 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/73c4ff2312334e5bb463374429f37b41.aspx,https://www.doc.govt.nz/link/bbde97d0dcaa42ddb1f2b97accd19685.aspx,2021/05/05 13:42:23+00,29383.6427855888
172479,Edwards - Otehake Route,A  transalpine route that mixes the best of east with the wilds of the west. ,Expert,2 - 3 days ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9efbf9f7f66d44a99f13fd6722b14608.jpg,https://www.doc.govt.nz/link/22dd9c7ad1664be9b9a3c144a63443ef.aspx,2021/05/05 13:42:23+00,27235.4085853665
172480,Eldrig Peak Route,This quite steep and difficult tramping track leads from the Borland Road through beech forest then into the tops where you can enjoy gorgeous views of Fiordland.,Advanced,8 to 10 hours return via same track,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/27830750bf3c464a83fd5d9ff14b42ec.aspx,https://www.doc.govt.nz/link/40aa9ce658534c3aa059e653c21fca55.aspx,2021/05/05 13:42:23+00,3803.39479404275
172481,Eliza Mine Loop Track,Evidence of the past can be savoured today as trampers walk through the Eliza Mine Loop Track.,Advanced,4 - 5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ce5a50b56cc348a789369cbfbcf2f050.jpg,https://www.doc.govt.nz/link/7b35436d89a2466e8b92401273e9f745.aspx,2021/05/05 13:42:23+00,4720.03990793517
172482,Ellis Basin Route,Enjoy extensive views of the Ellis Basin and the surrounding mountains on this track to Ellis Hut.,Expert,2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/8c7304d9444647859af11d8e49ca47a4.jpg,https://www.doc.govt.nz/link/a7fde424fbb441be8bd2cd61860ca830.aspx,2021/05/05 13:42:23+00,18462.4100546638
172483,Emily Falls and Rata Falls Tracks,Choose between these two waterfall walks.,Easy,45 min one way | 1 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/588e1fa7c08844db806171a7e5735c69.jpg,https://www.doc.govt.nz/link/9c3df4363a454fa4b083bddeb15a23c6.aspx,2021/05/05 13:42:23+00,2506.6980392713
172484,Everett Park Scenic Reserve walk,"Large grassed areas on the banks of the Manganui River, makes this a popular picnic and swimming area.

",Easiest,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9c0d2c5795fd453fb7f3a7d0cf463379.jpg,https://www.doc.govt.nz/link/20071c0c8b4e4397978c03ee89c7467d.aspx,2021/05/05 13:42:23+00,544.798545729063
172485,Ewe Range Track ,The Ewe Range Track provides walking access to the northern end of Oteake Conservation Park.,Advanced,3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/71a1da6716034dddb607c04e6bd7f6bb.jpg,https://www.doc.govt.nz/link/ac11c43bff7341f5a67aa1eadcd443b8.aspx,2021/05/05 13:42:23+00,6444.06544106551
172486,Falls Creek Route,"A challenging tramping route from the Milford Road into the Falls Creek valley, surrounded by impressive Fiordland mountains.",Expert,"4 hr to bush edge, 6 - 8 hr to rock bivvy",Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/cd903c57686a4ab0a1d7b7417471a0d9.jpg,https://www.doc.govt.nz/link/30421684d26043fdace0c9b9f89c7f29.aspx,2021/05/05 13:42:23+00,3619.96709848959
172487,Fantail Bay Track,A tramping track leaves from the Fantail Bay campsite and leads to the bushline where you’ll find outstanding views. ,Advanced,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9042d0add98e4b1fbdd1fe52f261bea1.jpg,https://www.doc.govt.nz/link/81556d2ac1504f98bb54be8652264d8e.aspx,2021/05/05 13:42:23+00,1377.753307665
172488,Fanthams Peak/Panitahi and Syme Hut Track,On a clear day this tramp offers great views up the mountain and down to the Taranaki Ring Plain and the coastline.,"Advanced, Expert",5–6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a962f0f2c8c2429aa15b2b512e12c2c7.aspx,https://www.doc.govt.nz/link/5d11877d97dc4d26bce7f6fd2f403609.aspx,2021/05/05 13:42:25+00,4256.80038944345
172489,Farewell Spit and Puponga Farm Park tracks,Choose from shorter walks good for children or longer walks across farmland - discover a lighthouse and a spectacular rugged coastline.,"Easy, Advanced, Expert",Various times under 5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a0b9f64920f94260ba19e9d0bef71e91.jpg,https://www.doc.govt.nz/link/52b5802d76374707a7f023372d9c9e14.aspx,2021/05/05 13:42:25+00,27412.686520642
172490,Ferndale tracks,From the Ferndale campsite there is a 15 minute loop track.,Easy,15 min - 1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/83ba41dbde7748adb4d0b0a6fc41ff8f.jpg,https://www.doc.govt.nz/link/7a4ec3e305fd4d0d93130c500e898a05.aspx,2021/05/05 13:42:25+00,405.583912209821
172491,Field Hut and Table Top,The day trip to Table Top is the classic climb to the tops of the western Tararua Range. ,Intermediate,5 – 6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d74402f157004a68b35c5eae4f318112.aspx,https://www.doc.govt.nz/link/f99ecad98abb4d1e92627eca2438166c.aspx,2021/05/05 13:42:25+00,5050.23739341276
172492,Five Mile Loop Track,This easy track passes through superb groves of mature hard beech in the lower reaches of Graces Stream.,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/61ecf9fb30844c9188797503bb58caac.jpg,https://www.doc.govt.nz/link/04f5d86739394c8d90f5ee5a30f45706.aspx,2021/05/05 13:42:25+00,2030.48223928859
172493,Flagstaff Hill Track,"Enjoy 360 degree views of the Bay of Islands from this important historic site - the Union Jack was first flown here in 1840, then chopped down four times up till 1845 as a symbolic gesture against British rule.",Easy,30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7d4bfe5b317e44819e89a9dee5b53a07.jpg,https://www.doc.govt.nz/link/240a2b085fbb4305865c452c5894836b.aspx,2021/05/05 13:41:48+00,1350.78609995395
172494,Flora Hut and Mount Arthur Hut tracks,"Walk through beech forest to one of two huts, or combine the tracks for a circuit walk - a great day walk or overnight tramp for families with kids.","Easy, Advanced",Various times under 4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/63b9e076ec4c4f26aad60571c581b5b5.jpg,https://www.doc.govt.nz/link/c0576c77fa954f148e51d0c0fa934312.aspx,2021/05/05 13:42:25+00,7876.65817987577
172495,Flower Brothers Walk,"From Lake Rotoroa car park, this track passes through a stand of kahikatea and around the lake outlet emerging on the road near Lake Rotoroa Lodge.",Easiest,15 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/568145976d234ee8870ee308d42e9eb7.jpg,https://www.doc.govt.nz/link/b5ba81c70d3740128b19a0041e8284f2.aspx,2021/05/05 13:42:26+00,176.019141929232
172496,Forest Road (Port FitzRoy - Whangaparapara),Discover a wide array of beautiful bush and mountain views.,Advanced,5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/6b9c546ea99b4561a8c39ed9136e9b47.aspx,https://www.doc.govt.nz/link/7355a707ba6f409fa50685da5841a1ef.aspx,2021/05/05 13:42:26+00,13645.6835868563
172497,Fowlers Pass Track,Fowlers Pass (1296 m) connects Fowlers Hut on Tophouse Road with Stanley Vale and Lake Guyon huts in the St James Conservation Area.,Advanced,5 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/016f5bba311b4ba099b4094b71641e0f.jpg,https://www.doc.govt.nz/link/b5fad048c2104327aa42afe64b2a5d2a.aspx,2021/05/05 13:42:26+00,15362.995213771
172498,Franz Josef Glacier/Kā Roimata o Hine Hukatere Walk,"Follow a rocky riverbed path, suitable for children, past a waterfall to Franz Josef Glacier viewing area.",Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/107f14892db24294a07aba52c308aa0c.jpg,https://www.doc.govt.nz/link/c02d801031244638bce00a807bfe071d.aspx,2021/05/05 13:42:26+00,2575.67675699828
172499,French Pass Lookout Track,"This track takes you to a viewpoint over historic Te Aumiti/French Pass, where the tide rushes back and forth like a river. ",Easiest,10 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3f6ee5a158bd463eb77809c2e07cc50b.aspx,https://www.doc.govt.nz/link/9e5c7e7915334b70a6cc08ba026a2bf8.aspx,2021/05/05 13:42:26+00,594.717484207833
172500,French Ridge Track,"After walking up the valley, a challenging track crosses the Matukituki River and climbs through bush to tussock slopes in the sub-alpine zone.",Advanced,6 hr - 7 hr 30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/74993b64a7274742ae192efa9c28104f.jpg,https://www.doc.govt.nz/link/ed5c6c86644840308f3904c3e0bbc7c4.aspx,2021/05/05 13:42:26+00,16306.1312879753
172501,Gentle Annie Track,"One of the most popular day trips in the park is the climb to Mountain House Shelter along the easy grade of the Gentle Annie Track.

",Easy,3 hr 30 min - 4 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/4f0cdf224fdd473096ee4b0d6cf96277.jpg,https://www.doc.govt.nz/link/a16818a5cc0c4396825c6c8b2ec10f47.aspx,2021/05/05 13:42:26+00,4478.04455644421
172502,George Sound Route,"This very challenging tramping route goes from Lake Te Anau across to George Sound, Fiordland.",Expert,3-4 days one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/375b270aaf00467a9b33aa39f4b77fda.jpg,https://www.doc.govt.nz/link/3acfca9002924cdfba50c24292705236.aspx,2021/05/05 13:42:27+00,17522.2661170001
172503,Gertrude Saddle Route,"Gertrude Saddle includes rocky alpine terrain and should only be attempted by experienced trampers and in good weather. Wet weather, snow or ice create treacherous conditions in any season.",Expert,4-6 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/91abedb573424789a17a15de6ba6e897.aspx,https://www.doc.govt.nz/link/e12bb2da76aa43308d0fc674f9a5dc54.aspx,2021/05/05 13:42:27+00,4295.59036511637
172504,Gibbs Hill Track,Find out about walking and mountain biking on the Gibbs Hill Track in Abel Tasman National Park.,Advanced,,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/7ea2a5a41a474070aaf1450763553ea1.aspx,https://www.doc.govt.nz/link/352bc749033b4b1ea3f1e80ef4ada341.aspx,2021/05/05 13:42:27+00,8462.61237509651
172505,Gibbston River Trail,The Gibbston River Trail is a walking and mountain bike track that stretches 11km from the historic Kawarau Suspension Bridge along the south bank of the Kawarau River. ,Easy,1 - 3 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c48bd65e6547465cb26acaad99f80271.jpg,https://www.doc.govt.nz/link/bc9a1550276d40d0bb01f89b7eabd70c.aspx,2021/05/05 13:42:27+00,10808.621156852
172506,Gillespie Pass Circuit,"This excellent circuit for experienced parties provides spectacular mountain scenery, alpine vegetation and river valleys filled with silver beech/tawhai. You can also do a side trip to Crucible Lake.",Advanced,3 - 4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/3dd8d7e8a5c84491b7f1535086dbd93b.jpg,https://www.doc.govt.nz/link/515e0210ba1a47508297a892aba9a23e.aspx,2021/05/05 13:42:27+00,64966.409425277
172507,Gillespies Beach walking tracks,"A visit to Gillespies Beach offers a scenic drive, lovely views of the Southern Alps Kā Tiritiri o te Moana, an historic cemetery and coastal walks.  ","Easy, Advanced",Various: 5 min - 3 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ada76f6f4c9d42b8b0101548331de68a.jpg,https://www.doc.govt.nz/link/fd4a6fd2505e4cecb73e8bc668b256c9.aspx,2021/05/05 13:42:28+00,5191.35794130978
172508,Glacier Burn Track,At Glacier Burn you'll climb through beech forest to Glacier Basin. Follow the creek beyond to view the Humboldt Mountains.,Advanced,2 - 4 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/296a5add575743ac8e865cdbc3a512cc.jpg,https://www.doc.govt.nz/link/5bfb98489c924b45a10178a67dd802fb.aspx,2021/05/05 13:42:28+00,3084.98280947118
172509,Glenorchy Walkway,This short walk over a beautiful wetland has plenty of bird life and is great for kids.,Easy,1 - 2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f98ca838e2884cb8a24cd6d6de1f8278.aspx,https://www.doc.govt.nz/link/3065268134264d57848861c614960189.aspx,2021/05/05 13:42:28+00,4387.66037919361
172510,Glenroy Water Race Track,"The track follows the historic Welshmen’s Water Race through several creeks, then steadily climbs to Ben Cruachan with good views of Lake Wakatipu, the Basin and Nevis Bluff. ",Advanced,8 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/ba4f68f3cd2544749ab65c44f75560bf.jpg,https://www.doc.govt.nz/link/35ecf558d5aa4a69b7f33c6e5c7a7eff.aspx,2021/05/05 13:42:28+00,4895.49078432957
172511,Glentui Loop Track,This family walk starts from the pleasant Glentui picnic area. ,Easy,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/d409b1b61ca44ac49b28d3931dfbf333.jpg,https://www.doc.govt.nz/link/67b432195a9c481a8cb2e5c2627e5f6c.aspx,2021/05/05 13:42:28+00,2456.58145848671
172512,Goat Island Walkway  ,This return walk traverses the coast part way to Cape Rodney. overlooking New Zealand's oldest and most popular marine reserve.  ,Easy,45 min to 1 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/67fe3e7380ec4a9da092b31189d2bea5.jpg,https://www.doc.govt.nz/link/bc9dfa83b046403fa8337a6c6d5a114a.aspx,2021/05/05 13:42:28+00,1408.04112604137
172513,Godley valley tracks,Walk or mountain bike up the Godley valley.,Advanced,8 hr | 11 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/87ab8e2707fd4adeab04127e4f397fe7.aspx,https://www.doc.govt.nz/link/c250b75775bc4a8b9df46913fa2727c5.aspx,2021/05/05 13:42:28+00,23572.0543833094
172514,Goldie Bush Walkway ,"Goldie Bush Scenic Reserve offers a variety of walks through coastal kauri forest, taking in the impressive Mokoroa Falls.","Easy, Advanced",2 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/295a378e686f4140a7246e737873c8b8.jpg,https://www.doc.govt.nz/link/cc5aa7283874463198471cd682505e24.aspx,2021/05/05 13:42:28+00,3582.86614900149
172515,Gordon Park Loop Track,"This flat and well-formed track passes through native podocarp-hardwood forest and has a variety of birds - with a picnic table at the start, it's a good option for families.",Easiest,15 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/b418d7d6be504b32be88e5443675b9b0.jpg,https://www.doc.govt.nz/link/11be73ae782849feaf958942043ad214.aspx,2021/05/05 13:42:28+00,631.219432004282
172516,Government Track,Walk or mountain bike the Government Track which traverses the slopes of the beech-and mānuka-forested Waipori Valley.,Advanced,4 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/1bbef62061e7482d891d2e0026f5d0dc.jpg,https://www.doc.govt.nz/link/39d1abb9178f4ab7ae90b7f261bcd95d.aspx,2021/05/05 13:42:28+00,8241.54866967441
172517,Grahams Bush Track,Climb through native bush with views of Otago Harbour and Otago Peninsula.,Easy,2 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/42f48339ee7949c9beff3eefe280d274.jpg,https://www.doc.govt.nz/link/5fefec356e44442f876fd5ad4a4bd5f9.aspx,2021/05/05 13:42:28+00,2132.35686356803
172518,Grandview Mountain Track,Trampers are well rewarded for their effort from the upper sections of the greater Grandview Range with inspiring views over Lakes Hāwea and Wānaka and mountains beyond.,Advanced,4 - 6 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/42e774773ef943b1809c798072a0337a.jpg,https://www.doc.govt.nz/link/ed22e25c0ca04d3cb15842b6deed7efd.aspx,2021/05/05 13:42:30+00,8633.34195616273
172519,Grandview Ridge tracks,"Highly visible over a large area of the surrounding landscape, the Grandview Ridge provides a spectacular vantage point for views over the upper Clutha Valley and peaks beyond.",Advanced,Various from 3-11 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/703ed89a942c478fb0440bbe332a71c4.jpg,https://www.doc.govt.nz/link/6246cb9a55214d6c8100106c410b2674.aspx,2021/05/05 13:42:30+00,35594.5197035524
172520,Gray's Bush Scenic Reserve walks,These walks pass through a remnant of the tall kahikatea (podocarp) forest which once covered much of the Gisborne plains - the shorter option is suitable for buggies and wheelchairs.,Easiest,15 min - 1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/96be4cca490d4929b466ff3855085bdf.jpg,https://www.doc.govt.nz/link/8a8e4049065d4cf09a631302f6053805.aspx,2021/05/05 13:42:30+00,944.451888366353
172521,Green Lake Track,"This tramping track leads to a hut at attractive Green Lake in Monowai, Fiordland.",Advanced,3 or 6 hr to hut,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/01a7f34a945c46278db469e9e38ab9b0.jpg,https://www.doc.govt.nz/link/5bb304abfbce4827bbbd1179780aa20d.aspx,2021/05/05 13:42:30+00,18282.7972193337
172522,Greenstone and Caples tracks,"The Caples and Greenstone tracks start from the car park at the end of Greenstone Road, 86 km from Queenstown, via Glenorchy. Alternatively, they can be started from Lake Howden outlet on the Routeburn Track.",Intermediate,4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/03955b0764494e84a467ceb12f398e09.aspx,https://www.doc.govt.nz/link/cb036644824942e194854614f7cdcc1d.aspx,2021/05/05 13:42:30+00,58413.0973604965
172523,Grey River Nature Trail,"Walk through mixed tawhai/podocarp forest on this short, easy walk - with a picnic area nearby this is a good option for children.",Easiest,1 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/images/no-photo/no-photo-220x140.jpg,https://www.doc.govt.nz/link/214263894fda4c4ea5c5b6f177f06d1f.aspx,2021/05/05 13:42:31+00,1409.5110749762
172524,Gunns Bush Track,Walk along an enchanting moss carpet.,Easy,1 hr 30 min return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/845f51217007442dad02ddf9aa45ccde.jpg,https://www.doc.govt.nz/link/9bffc317e39949e8b06491c9a83da90c.aspx,2021/05/05 13:42:31+00,3107.47006328438
172525,H Tree Track,"The H Tree Track in Whirinaki Te Pua-a-Tāne Conservation Park is an easy loop track  through grand podocarp forest. The forest is home to a number of native birds, including kaka.",Easiest,1 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/f216309c73554c1c9b589d050a54c131.jpg,https://www.doc.govt.nz/link/73f68166dba94edcb15b84f8b8ae7c9c.aspx,2021/05/05 13:42:31+00,1975.19821157087
172526,Hakarimata Rail Trail,This family walking and cycling track follows the route of the former Ngaruawahia/Glen Massey railway to attractive stream cascades.,Easiest,30 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0e6b4028637c4a72a5ad7135b04f9048.aspx,https://www.doc.govt.nz/link/f1f6d783ede94c05a7df62fac89f8e5b.aspx,2021/05/05 13:42:31+00,1219.94637009695
172527,Hakarimata Walkway,Walk the length of the Hakarimata Range and enjoy excellent views towards the coast and across the Waikato Basin.,Advanced,7 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5dc39fe517a84d18bd08b8ce839b236d.aspx,https://www.doc.govt.nz/link/13ba6a5ca416431f98bea431b0b99372.aspx,2021/05/05 13:42:31+00,13629.2250051962
172528,Hanging Valley Track,"This steep tramping track in Deep Cove, Doubtful Sound leads up to an impressive hanging valley and views of the Huntleigh Falls and Deep Cove.",Advanced,2 - 3 hr return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a6204028226d44d3b64cc53b3d908b48.aspx,https://www.doc.govt.nz/link/840b08ca3fe34ef9a5cb5a43b24b9c75.aspx,2021/05/05 13:42:31+00,1691.3944180956
172529,Hapuakohe Walkway,"The Hapuakohe Walkway can be done as a 2-day trek, split by the Kaihere-Ohinewai Road. Smaller sections can be completed within a day. It is suitable for experienced trampers only. ",Advanced,1-2 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/c890f44301e24468917fe771e8c62d42.jpg,https://www.doc.govt.nz/link/badb6dfb36634adb87dc81278c0b9a8f.aspx,2021/05/05 13:42:31+00,22265.3334894404
172530,Harataonga area tracks,"There are a number of tramping tracks in the Harataonga area, which offer great views of the island and surrounding coastline.",Advanced,30 min | 4 - 5 hr,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/412bc0db04bc4b94b559f32128b47a98.jpg,https://www.doc.govt.nz/link/57ec73b2c91f4b41a003759321270227.aspx,2021/05/05 13:42:32+00,12591.3079927028
172531,Harihari Coastal Walkway,"Harihari Coastal Walkway is one of the most scenic walkways on the West Coast, with spectacular views of forest, rivers, mountains and coastline.",Easy,2 hr 45 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/0865f06a983942359cf058007d1bee45.jpg,https://www.doc.govt.nz/link/f28e072b6d9741b2a607be47fb65804a.aspx,2021/05/05 13:42:32+00,7163.2809995898
172532,Harman Pass Route,"This route takes you from the open east-coast river flats over a rugged, untracked alpine pass into the rainforest of the Taipo River. ",Expert,3 - 4 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/e3d5d78da25248aa8212a5754d596751.jpg,https://www.doc.govt.nz/link/139b02cbce7c44fb9b1fdcb4520e45dc.aspx,2021/05/05 13:42:32+00,43468.6405383342
172533,Harper Pass Route,Harper Pass was the main pathway to and from the west coast for Māori when trading for pounamu (greenstone). Follow this historic route from west to east.,Advanced,4-5 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/76ebb2b0c4df48789160828cd576511f.jpg,https://www.doc.govt.nz/link/cef0d7b20e204b34a41907f841729891.aspx,2021/05/05 13:42:32+00,77188.9697198222
172534,Harts Creek Track,"This is an easy track to a bird hide, where you can view abundant birdlife, and a great walk for children and families.",Easiest,1 hr 20 minutes return,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/09b318d34236409e9c44ee16f66b4b6c.aspx,https://www.doc.govt.nz/link/dd4bd6a9ef60485598d623a4dc1f774e.aspx,2021/05/05 13:42:32+00,1368.37680506471
172535,Harwoods Hole Track,"At the end of Harwoods Hole Track is Harwoods Hole, the deepest vertical shaft in New Zealand. Find out how to get there and important safety information.",Easy,45 min one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/9fa1b2610bab4a5a9a48384546f05ad2.jpg,https://www.doc.govt.nz/link/69172d9310f240e3a0c50f8e38a815fd.aspx,2021/05/05 13:42:32+00,2612.02219271456
172536,Hauturu Highpoint Track ,Climb onto a razor back ridge in the Waima Ranges for sensational views and pristine vegetation.,Advanced,4 hr one way,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/5c0bfe5218a54e70b79bcd4fa31f599e.aspx,https://www.doc.govt.nz/link/c9f7bd489684453f9b381febda35c028.aspx,2021/05/05 13:42:33+00,5223.39764393383
172537,Hawksbury lagoon and beach walk,Walk around Hawksbury lagoon in Waikouaiti and enjoy this wildlife refuge providing habitat for ducks and native birds which can be seen from the causeways that cross the pools.,Easy,1 hr 30 min,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/a586f49f9ef74a2e8e77ded1750457ad.jpg,https://www.doc.govt.nz/link/e04c906141174ad3a608e9b1980eb536.aspx,2021/05/05 13:42:33+00,1401.47452435629
172538,Heaphy Track,"Travel through expansive tussock downs, lush forests and nīkau palms to the roaring seas of the West Coast. Mountain bikes are allowed between 1 May and 30 November.",Intermediate,4-6 days,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/2681fd8173f7443b8b55ccff860d59ae.jpg,https://www.doc.govt.nz/link/9943e482ca3347368b7aa0199a2a4a0c.aspx,2021/05/05 13:42:33+00,63529.2109110251
172539,Helena Falls Track,"This tramping track in Deep Cove, Doubtful Sound leads around the cove to a stream looking up to Helena Falls.",Advanced,2 hr return ,Refer to DOC website for current alerts,https://www.doc.govt.nz/thumbs/large/link/67ab6751eec049ce986c212eedc0b275.jpg,https://www.doc.govt.nz/link/017ddbc149a04a03b05be986e47b0ae4.aspx,2021/05/05 13:42:33+00,1041.25609790716
